ID;Contents
event_newbiehero_choice03_normal01;어쩔 수 없지만 일단 작전 수행이 우선이니 무시하기로 했다. 히어로라면 알아서 잘 버티겠지.
event_rockfall_start;돌더미가 길을 막고있다
event_rockfall_choice01;어떻게든 돌파한다.
event_rockfall_choice01_special01;괴력으로 잔해를 치우고 있는데, 귀한 물건을 발견했습니다!
event_rockfall_choice01_special02;잔해들을 공간이동시키면서 치우던 중, 보급품을 발견했습니다!
event_rockfall_choice01_special03;자력으로 잔해를 치우던 중, 보급품을 발견했습니다.
event_rockfall_choice01_normal01;다함께 낑낑대며 어떻게든 잔해 사이로 지나갈 틈을 만들었습니다.
event_flood_start;물 속에 빠진 시민이 있다!
event_flood_choice01;구조를 시도한다
event_flood_choice02;구조대를 부른다 <골드 소모(소), 보상 : 소>
event_flood_choice03;무시하고 지나간다
event_flood_choice01_special01;물에 빠진 시민을 안전하고 빠르게 구출하는데 성공했다.
event_flood_choice01_special02;물에 빠진 시민을 안전하고 빠르게 구출하는데 성공했다
event_flood_choice01_special03;구조를 성공하지만, 시간을 소요했음
event_flood_choice01_special04;구조를 성공하지만, 시간을 소요했음
event_flood_choice01_normal01;방법이 없어 급히 구급대를 불렀습니다
event_flood_choice01_normal02;무리한 구조활동을 하다 물에 휩쓸렸습니다...
event_flood_choice02_normal01;구조대를 부르자 조난당한 사람을 고무보트에 태워 구조해 갔다.
event_flood_choice03_normal01;임무가 더 중요하다. 조난당한 사람은 나중에 다른 사람이 구해주겠지.
event_explosive_start;폭탄이 있다!
event_explosive_choice01;해체를 시도한다
event_explosive_choice02;해체팀을 부른다 <골드 소모(소), 보상 : 소>
event_explosive_choice03;멀리 떨어져서 폭발할 때 까지 기다린다
event_explosive_choice01_special01;폭탄을 완벽하게 해체했습니다! 이래저래 쓸모가 많아 보이는 부품들이네요!
event_explosive_choice01_special02;폭탄의 전기신호를 모두 차단해 안전하게 해체했습니다! 부품도 온전히 남았네요!
event_explosive_choice01_special03;뇌관들을 전부 안전하게 없애버렸습니다. 남은 것들은 유용하게 쓸 수 있어보이네요.
event_explosive_choice01_special04;조심히, 꼼꼼히 폭탄을 해체했습니다. 위험할 뻔 했지만 안전하게 해체했어요. 부품은 많이 망가졌지만 다행히 다치지는 않았습니다.
event_explosive_choice01_special05;폭탄의 해체가 생각보다 까다롭자, 그냥 사람이 없는 안전한 곳에 던져버렸습니다. 다치지 않았으니 다행이네요.
event_explosive_choice01_normal01;엉성하지만 어떻게든 해체에 성공했습니다. 다행이네요.
event_explosive_choice01_normal02;쾅!!! 폭탄이 폭발했습니다! 으윽…
event_explosive_choice02_normal01;폭탄 해체팀을 호출하자 빠르게 와서 폭탄을 해체해 주었습니다. 다행이네요.
event_explosive_choice03_normal01;멀리 떨어져서 폭발을 기다렸습니다. 곧, 폭발로 시설이 엉망진창이 되었네요. 사람은 다치지 않았으니 다행입니다.
event_blockingdoor_start;빌런의 보안 차단문이 있다! 이 너머로 가야 하는데…
event_blockingdoor_choice01;돌파를 시도한다
event_blockingdoor_choice01_special01;차단문을 해킹해서 열었습니다. 잠깐, 차단문에 달려있는 기계장치들도 가져가야겠네요!
event_blockingdoor_choice01_special02;금속 차단문을 불로 녹여버렸습니다! 깔끔하고 편리하네요!
event_blockingdoor_choice01_normal01;으랏차! 히어로들이 힘을 합쳐서 차단문을 박살내버렸습니다!
event_safetylock_start;커다란 금고다! 주변에도 이런저런 물건들이 있지만, 분명 이 금고 안에 빌런의 보물들이 있을 것이다.
event_safetylock_choice01;금고를 조사한다.
event_safetylock_choice02;주변의 물자만 챙겨서 떠난다. < 보상 : 소 >
event_safetylock_choice01_special01;금고의 잠금장치를 자력과 전기로 움직여 열었습니다! 보물은 우리 것이다!
event_safetylock_choice01_special02;금고에 귀를 대고, 조심스럽게 돌립니다. 딸깍! 문이 열리네요! 보물은 우리 꺼!
event_safetylock_choice01_special03;금고의 문을 잡고… 세게 밀자… 와장창! 금고의 문을 부숴버렸습니다! …안의 물건들이 조금 망가지긴 했지만요.
event_safetylock_choice01_special04;콰아아앙! 문을 깔끔하게 녹여버렸습니다! …안의 물건도 조금… 조금 많이 타버렸네요.
event_safetylock_choice01_special05;어떻게든 문을 열어버렸습니다. 근데 이 시끄러운 사이렌 소리는 뭐죠? 앗, 적이다!
event_safetylock_choice01_normal01;열심히 노력해봤지만 금고를 열 수 없었습니다. 아쉬운 대로 주변의 물자들을 챙겨 가기로 했습니다.
event_safetylock_choice02_normal01;굳이 욕심 낼 필요 없죠. 일단 임무를 우선해서 빨리 물자만 챙겨 떠나기로 했습니다.
event_missingchild_start;꼬마아이 하나가 엉엉 울고 있다!
event_missingchild_choice01;안전지대로 옮겨준다.
event_missingchild_choice02;구조대를 호출한다. <골드 소모(소), 보상 : 소>
event_missingchild_choice01_special01;아이를 잘 달래주면서 안전한 곳으로 옮겨주었습니다. 감사하다며 꾸벅 인사하네요.
event_missingchild_choice01_special02;아이가 눈을 크게 뜨더니 히어로 중 한명을 알아보네요! 신나서 잘 따라와줍니다. 다행이네요!
event_missingchild_choice01_special03;아이가 불안해 하기도 전에, 순식간에 안전한 곳에 내려주었습니다. 어안이 벙벙해 보이지만, 안전하니 다행이네요!
event_missingchild_choice01_special04;아이를 데리고 하늘을 날아 안전한 곳에 내려주었습니다. 아이의 안색이 좀 창백해보이지만… 뭐 안전한게 우선이죠?
event_missingchild_choice01_normal01;아이를 조심히 보호하며 안전한 곳으로 옮겨줬습니다. 시간이 좀 걸렸지만 중요한 일이죠.
event_missingchild_choice02_normal01;구조대를 불러 아이를 보호하여 호송하게 했습니다. 다행이네요.
event_magic_start;아무것도 없는 곳 같은데, 자세히 보니 주변에 월광교의 마법진이 눈에 보인다.
event_magic_choice01;마법진을 변조해서 우리가 이용해본다
event_magic_choice02;마법진을 파괴한다 <보상 없음>
event_magic_choice01_special01;익숙한 마법진이네요. 강화의 마법진의 타겟을 바꾸는 일도 쉽게 해낼 수 있었습니다. 힘이 느껴진다!
event_magic_choice01_special02;분명 이건 월광교가 만들어낸 강화의 마법진입니다. 완벽하진 않아도, 일부 힘을 빼앗는 정도는 할 수 있었습니다.
event_magic_choice01_special03;자세한 지식은 없지만, 이 효과를 아얘 뒤집어 버리면 큰 효과를 볼 수 있을 거 같습니다. 그리고 성공했네요!
event_magic_choice01_normal01;음… 아무리 봐도 잘 모르겠습니다. 쩝. 어쩔 수 없죠. 부수는 수 밖에.
event_magic_choice02_normal01;마법진을 성공적으로 깨부쉈습니다.
event_board_start;작은 보드가 눈에 띈다. 작전보드인가?
event_board_choice01;작전보드를 분석한다
event_board_choice02;회수해서 나중에 분석해본다 <보상 소>
event_board_choice01_special01;작전보드를 분석해보니 현재 빌런의 작전과 완전히 일치하진 않지만, 대략적인 작전양상에 대한 그림이 그려집니다. 역이용할 수 있을 것 같네요.
event_board_choice01_special02;빌런들의 작전 패턴을 꼼꼼히 분석했습니다. 좀 더 수월하게 대처할 수 있겠죠?
event_board_choice01_special03;작전 내용을 자세히는 모르겠지만, 대충 보니 어떤 일이 벌어지고 있는지 기억해냈습니다.
event_board_choice01_normal01;으음… 잘 모르겠군요. 그냥 둔 채 빨리 임무를 수행하기로 했습니다.
event_board_choice02_normal01;회수해서 가방에 잘 넣어뒀습니다. 전략적으로 가치가 있길 바라야겠네요.
